Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
SAWAD,SET100 / SETHD / SETTHSI    ,55.00,67.75,38.00,17.14,3.09,1373.15,75523.38,733.64,1.67
SC,sSET / SETTHSI    ,4.08,4.50,3.10,7.83,0.83,4232.95,17270.44,46.76,1.05
SCB,SET50 / SETCLMV / SETTHSI    ,111.50,121.50,89.75,9.26,0.82,33671.07,375432.46,1599.11,1.30
SCC,SET50 / SETCLMV / SETHD / SETTHSI    ,355.00,402.00,307.00,14.43,1.08,1200.00,426000.00,886.98,0.71
SCCC,SETCLMV / SETTHSI    ,158.50,175.50,144.50,12.36,1.30,2980.00,47233.00,21.16,0.42
SCGP,SET50 / SETCLMV / SETTHSI    ,55.50,64.75,49.75,31.91,2.34,4292.92,238257.07,845.53,0.98
SENA,sSET    ,3.92,5.50,3.76,4.22,0.71,1442.24,5652.76,5.28,0.96
SGP,SET    ,10.10,14.90,9.75,8.83,1.11,918.93,18562.42,6.71,0.70
SINGER,SET100 / SETWB    ,30.25,59.25,26.25,25.88,1.64,822.34,24875.84,196.63,2.25
SIRI,SETTHSI    ,1.68,1.85,0.97,9.14,0.63,16475.59,25868.22,448.31,1.13
SIS,sSET    ,28.00,46.00,23.80,12.85,2.88,350.20,9805.56,18.25,1.70
SKN,sSET    ,4.92,9.90,4.42,4.83,1.15,800.00,3936.00,1.58,1.08
SKR,SET    ,13.80,15.80,11.60,16.94,4.76,1032.16,28487.74,4.31,0.45
SMPC,sSET    ,13.60,16.80,12.10,7.33,2.79,535.51,7282.89,7.96,0.64
SNC,sSET / SETTHSI    ,14.20,23.80,13.60,7.08,1.04,362.22,5143.53,11.41,0.70
SPALI,SET100 / SETHD / SETTHSI    ,23.70,25.25,18.10,5.21,1.04,1953.05,46287.38,177.41,0.70
SPC,SET    ,65.50,79.75,50.00,13.11,0.88,330.00,21615.00,0.05,0.18
SPCG,sSET    ,15.00,18.90,13.60,7.04,0.90,1055.79,15836.85,7.03,0.57
SPRC,SET100 / SETCLMV    ,10.10,13.50,8.20,4.73,1.03,30004.44,43792.61,306.89,0.93
SPRIME,SET    ,6.95,7.15,6.25,999.99,0.68,4191.41,3104.91,0.40,0.27
SSP,sSET / SETCLMV    ,10.20,12.09,8.45,9.65,1.63,1248.93,12739.11,20.66,1.27
STA,SET100 / SETTHSI / SETWB    ,21.30,32.50,17.70,6.04,0.65,1536.00,32716.80,102.64,1.28
STANLY,sSET    ,189.00,198.50,164.50,8.65,0.71,383.12,14482.12,5.37,0.58
STARK,SET100    ,2.68,5.10,2.16,11.50,2.53,13406.40,35929.17,176.23,0.79
STEC,SET    ,14.30,15.40,11.00,23.73,1.15,1525.11,21809.02,215.43,1.33
STGT,SET100 / SETCLMV / SETTHSI    ,10.80,30.25,8.65,8.77,0.83,1432.59,30943.94,112.24,1.32
SUPER,SETCLMV    ,0.68,0.96,0.63,18.61,0.93,2734.95,18597.64,38.96,0.79
SUPEREIF,SET    ,9.80,12.30,9.25,999.99,999.99,5057.30,5047.00,2.21,0.09
SVI,SET    ,10.50,12.40,6.40,12.19,3.79,2153.21,22608.71,142.05,2.43
SYNEX,sSET / SETTHSI    ,17.10,36.75,14.50,16.11,3.72,847.36,14489.88,47.07,2.08
TASCO,SETCLMV    ,17.00,18.70,15.50,14.39,1.64,1578.36,26832.15,44.53,0.68
TCAP,SET100 / SETHD    ,43.75,45.00,35.75,7.77,0.69,11456.50,50122.17,169.02,0.85
TFFIF,SET    ,8.00,8.50,7.00,999.99,0.68,45503.03,36560.00,10.69,0.38
